Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ABCCS;12;3MD067;2020-02-02;15:00;;xxxxx;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;;;;;
ABCCS;12;3MD068;2020-02-02;14:00;0449605;ST NAZAIRE VB ATLANTIQUE 3;0293600;SAINT-RENAN IROISE VOLLEY;;;;COUBERTIN;;;;
ABCCS;12;3MD069;2020-02-02;15:00;0229106;GOELO COTES D'ARMOR VOLLEY-BALL;0293606;KLOAR-AVEN VB 29;;;;LP DE LA CLOSERIE;;;;
ABCCS;12;3MD070;2020-02-02;15:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0534442;ASPTT LAVAL;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;12;3MD071;2020-02-02;15:00;0351417;RENNES ETUDIANTS CLUB;0442477;ASB REZE 3;;;;COURTEMANCHE;;;;
ABCCS;12;3MD072;2020-02-02;15:00;0353652;C.P.B. RENNES 35;0355169;VOLLEY BALL CLUB MALOUIN;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;13;3MD073;2020-02-16;15:00;;xxxxx;0355169;VOLLEY BALL CLUB MALOUIN;;;;;;;;
ABCCS;13;3MD074;2020-02-16;14:00;0442477;ASB REZE 3;0353652;C.P.B. RENNES 35;;;;GYMNASE LIBERGE;;;;
ABCCS;13;3MD075;2020-02-16;15:00;0534442;ASPTT LAVAL;0351417;RENNES ETUDIANTS CLUB;;;;GYMNASE NOEMIE HAMARD;;;;
ABCCS;13;3MD076;2020-02-16;15:00;0293606;KLOAR-AVEN VB 29;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;SALLE DES SPORTS;;;;
ABCCS;13;3MD077;2020-02-16;15:00;0293600;SAINT-RENAN IROISE VOLLEY;0229106;GOELO COTES D'ARMOR VOLLEY-BALL;;;;SALLE GUYADER;;;;
ABCCS;13;3MD078;2020-02-16;15:00;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;0449605;ST NAZAIRE VB ATLANTIQUE 3;;;;2 RUISSEAUX;;;;
ABCCS;14;3MD079;2020-02-23;14:00;0449605;ST NAZAIRE VB ATLANTIQUE 3;;xxxxx;;;;COUBERTIN;;;;
